GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
1400000US50007000100,50007000100,"Census Tract 1, Chittenden County, Vermont",001,Total population,628,334
1400000US50007000200,50007000200,"Census Tract 2, Chittenden County, Vermont",001,Total population,1038,227
1400000US50007000300,50007000300,"Census Tract 3, Chittenden County, Vermont",001,Total population,895,94
1400000US50007000400,50007000400,"Census Tract 4, Chittenden County, Vermont",001,Total population,827,80
1400000US50007000500,50007000500,"Census Tract 5, Chittenden County, Vermont",001,Total population,978,112
1400000US50007000600,50007000600,"Census Tract 6, Chittenden County, Vermont",001,Total population,1106,106
1400000US50007000800,50007000800,"Census Tract 8, Chittenden County, Vermont",001,Total population,897,210
1400000US50007000900,50007000900,"Census Tract 9, Chittenden County, Vermont",001,Total population,828,89
1400000US50007001000,50007001000,"Census Tract 10, Chittenden County, Vermont",001,Total population,724,64
1400000US50007001100,50007001100,"Census Tract 11, Chittenden County, Vermont",001,Total population,1148,80
1400000US50007002101,50007002101,"Census Tract 21.01, Chittenden County, Vermont",001,Total population,1047,139
1400000US50007002102,50007002102,"Census Tract 21.02, Chittenden County, Vermont",001,Total population,1055,91
1400000US50007002200,50007002200,"Census Tract 22, Chittenden County, Vermont",001,Total population,936,57
1400000US50007002301,50007002301,"Census Tract 23.01, Chittenden County, Vermont",001,Total population,897,181
1400000US50007002302,50007002302,"Census Tract 23.02, Chittenden County, Vermont",001,Total population,1142,134
1400000US50007002400,50007002400,"Census Tract 24, Chittenden County, Vermont",001,Total population,899,93
1400000US50007002500,50007002500,"Census Tract 25, Chittenden County, Vermont",001,Total population,940,105
1400000US50007002601,50007002601,"Census Tract 26.01, Chittenden County, Vermont",001,Total population,892,71
1400000US50007002602,50007002602,"Census Tract 26.02, Chittenden County, Vermont",001,Total population,1015,145
1400000US50007002701,50007002701,"Census Tract 27.01, Chittenden County, Vermont",001,Total population,1162,146
1400000US50007002702,50007002702,"Census Tract 27.02, Chittenden County, Vermont",001,Total population,1070,183
1400000US50007002800,50007002800,"Census Tract 28, Chittenden County, Vermont",001,Total population,933,54
1400000US50007002900,50007002900,"Census Tract 29, Chittenden County, Vermont",001,Total population,878,108
1400000US50007003100,50007003100,"Census Tract 31, Chittenden County, Vermont",001,Total population,949,37
1400000US50007003301,50007003301,"Census Tract 33.01, Chittenden County, Vermont",001,Total population,,
1400000US50007003304,50007003304,"Census Tract 33.04, Chittenden County, Vermont",001,Total population,931,149
1400000US50007003400,50007003400,"Census Tract 34, Chittenden County, Vermont",001,Total population,1128,163
1400000US50007003600,50007003600,"Census Tract 36, Chittenden County, Vermont",001,Total population,1009,77
1400000US50007003900,50007003900,"Census Tract 39, Chittenden County, Vermont",001,Total population,1047,319
1400000US50007004002,50007004002,"Census Tract 40.02, Chittenden County, Vermont",001,Total population,1173,66
